FID,OBJECTID,Comment,YEAR_BUILT,PORTS,PRIVATE,LAT,LONG,ELEV,Hydrant_Ty,Address_Nu,Street_Nam,Repairs_Ne,Last_Maint,Maintained,PSI,POINT_X,POINT_Y,POINT_Z,POINT_M
231,232, ,1993,3,N,45.508569720499999,-122.378827243000003,72.883063004199997,Waterous 67,1023.000000000000000,46TH,Needs Paint,4/11/2014 0:00:00,Y,70,7720470.049589999951422,677108.542887000017799,72.883099999999999,0.000000000000000
232,233, ,1993,3,N,45.508771043400003,-122.377980781000005,69.991823601999997,Waterous 67,4502.000000000000000,VIEWPOINT,Need Paint,4/11/2014 0:00:00,Y,80,7720688.789309999905527,677177.027002000017092,69.991799999999998,0.000000000000000
233,234, ,2006,3,N,45.509658927399997,-122.378135927000002,65.975300486999998,Clow,1158.000000000000000,WALTER,Need Paint,8/8/2013 0:00:00,Y,80,7720656.572839999571443,677500.613626000005752,65.975300000000004,0.000000000000000
234,235, ,2005,3,N,45.510275688599997,-122.377893422000000,66.221292680000005,Clow,4457.000000000000000,TOPAZ,Need Paint,4/14/2014 0:00:00,Y,85,7720723.884709999896586,677724.186997000011615,66.221299999999999,0.000000000000000
235,236, ,2005,3,N,45.510526827100001,-122.378780911000007,64.066812438599996,Clow,4296.000000000000000,TOPAZ,Need Paint,4/14/2014 0:00:00,Y,85,7720498.535760000348091,677821.540476999944076,0.000000000000000,0.000000000000000
236,237,needs paint,2005,3,N,45.511304266400003,-122.378208381999997,61.273254244199997,Clow,4282.000000000000000,VIEWPOINT,Replace Reflector,4/14/2014 0:00:00,Y,85,7720651.866159999743104,678101.286637000041083,0.000000000000000,0.000000000000000
237,238, ,1993,3,N,45.512614490200001,-122.376546888999997,61.615463890199997,Clow 2500,1208.000000000000000,ALTHAUS,Need Paint,4/16/2014 0:00:00,Y,90,7721088.889890000224113,678569.155124000040814,61.615499999999997,0.000000000000000
238,239, ,1994,3,N,45.513636222000002,-122.376668691000006,59.603285529600001,Muller SC,1489.000000000000000,ALTHAUS,Need Paint,4/16/2014 0:00:00,Y,90,7721065.846959999762475,678942.486398000037298,0.000000000000000,0.000000000000000
239,240, ,1994,3,N,45.512810415300002,-122.377423710000002,60.525424510299999,Muller SC,4132.000000000000000,TOPAZ,Need Paint,4/16/2014 0:00:00,Y,90,7720865.842439999803901,678645.792766000027768,0.000000000000000,0.000000000000000
240,241, ,1993,3,N,45.511799802399999,-122.378447898000005,59.813965488900003,Clow 2500,1004.000000000000000,ALTHAUS,Need Paint,4/14/2014 0:00:00,Y,90,7720594.738649999722838,678283.450314000016078,59.814000000000000,0.000000000000000
